date,kernel,family,config,fold,state,hours,wall_clock_hours,weekly_total
2026-09-10 15:24,ecgpcg-ecg-only-default-cv-fold2,ecg_only,default,2,complete,0.0926,0.084,0.0926
2026-09-10 15:27,ecgpcg-ecg-only-default-cv-fold3,ecg_only,default,3,complete,0.1559,0.0805,0.2485
2026-09-10 17:08,ecgpcg-ecg-only-default-cv-fold0,ecg_only,default,0,complete,0.1312,0.5933,0.3797
2026-09-10 17:10,ecgpcg-ecg-only-default-cv-fold1,ecg_only,default,1,complete,0.1208,0.6091,0.5005
2026-09-10 17:17,ecgpcg-ecg-only-default-cv-fold2,ecg_only,default,2,complete,0.0926,0.102,0.5931
2026-09-10 17:21,ecgpcg-ecg-only-default-cv-fold3,ecg_only,default,3,complete,0.1559,0.1666,0.749
2026-09-10 17:22,ecgpcg-ecg-only-default-cv-fold4,ecg_only,default,4,complete,0.0539,0.0636,0.8029
2026-09-10 17:26,ecgpcg-pcg-only-default-cv-fold0,pcg_only,default,0,complete,0.0373,0.0458,0.8402
2026-09-10 17:28,ecgpcg-pcg-only-default-cv-fold1,pcg_only,default,1,complete,0.0741,0.0798,0.9143
2026-09-10 17:31,ecgpcg-pcg-only-default-cv-fold2,pcg_only,default,2,complete,0.0484,0.064,0.9627
2026-09-10 17:36,ecgpcg-pcg-only-default-cv-fold3,pcg_only,default,3,complete,0.1003,0.1027,1.063
2026-09-10 17:40,ecgpcg-pcg-only-default-cv-fold4,pcg_only,default,4,complete,0.0906,0.1199,1.1536
2026-09-10 17:47,ecgpcg-dual-cnn-default-cv-fold0,dual_cnn,default,0,complete,0.1497,0.1673,1.3033
2026-09-10 17:49,ecgpcg-dual-cnn-default-cv-fold1,dual_cnn,default,1,complete,0.1286,0.1409,1.4319
2026-09-10 18:00,ecgpcg-dual-cnn-default-cv-fold2,dual_cnn,default,2,complete,0.1772,0.1849,1.6091
2026-09-10 18:01,ecgpcg-dual-cnn-default-cv-fold3,dual_cnn,default,3,complete,0.1607,0.1666,1.7698
2026-09-10 18:11,ecgpcg-dual-cnn-default-cv-fold4,dual_cnn,default,4,complete,0.1372,0.1477,1.907
2026-09-10 18:12,ecgpcg-cbam-fusion-default-cv-fold0,cbam_fusion,default,0,complete,0.1311,0.1791,2.0381
2026-09-10 18:20,ecgpcg-cbam-fusion-default-cv-fold1,cbam_fusion,default,1,complete,0.1255,0.1373,2.1636
2026-09-10 18:24,ecgpcg-cbam-fusion-default-cv-fold2,cbam_fusion,default,2,complete,0.1617,0.1724,2.3253
2026-09-10 18:29,ecgpcg-cbam-fusion-default-cv-fold3,cbam_fusion,default,3,complete,0.1294,0.1434,2.4547
2026-09-10 18:34,ecgpcg-cbam-fusion-default-cv-fold4,cbam_fusion,default,4,complete,0.1525,0.1559,2.6072
2026-09-10 18:37,ecgpcg-cross-attn-fusion-default-cv-fold0,cross_attn_fusion,default,0,complete,0.104,0.1187,2.7112
2026-09-10 18:41,ecgpcg-cross-attn-fusion-default-cv-fold1,cross_attn_fusion,default,1,complete,0.0972,0.1052,2.8084
2026-09-10 18:46,ecgpcg-cross-attn-fusion-default-cv-fold2,cross_attn_fusion,default,2,complete,0.1287,0.1322,2.9371
2026-09-10 18:51,ecgpcg-cross-attn-fusion-default-cv-fold3,cross_attn_fusion,default,3,complete,0.1513,0.1595,3.0884
2026-09-10 18:54,ecgpcg-cross-attn-fusion-default-cv-fold4,cross_attn_fusion,default,4,complete,0.1146,0.1186,3.203
2026-09-10 19:00,ecgpcg-cross-attn-resnet18-default-cv-fold0,cross_attn_resnet18,default,0,complete,0.1189,0.1189,3.3219
2026-09-10 19:03,ecgpcg-cross-attn-resnet18-default-cv-fold1,cross_attn_resnet18,default,1,complete,0.1197,0.1197,3.4416
2026-09-10 19:12,ecgpcg-cross-attn-resnet18-default-cv-fold3,cross_attn_resnet18,default,3,complete,0.0917,0.0917,3.5333
2026-09-10 19:14,ecgpcg-cross-attn-resnet18-default-cv-fold2,cross_attn_resnet18,default,2,complete,0.2008,0.2008,3.7341
2026-09-10 19:18,ecgpcg-cross-attn-resnet18-default-cv-fold4,cross_attn_resnet18,default,4,complete,0.0798,0.0798,3.8139
2026-09-10 19:25,ecgpcg-warm-start-fusion-default-cv-fold0,warm_start_fusion,default,0,error,0.0759,0.0269,3.8898
2026-09-10 19:25,ecgpcg-warm-start-fusion-default-cv-fold2,warm_start_fusion,default,2,error,0.1738,0.0132,4.0636
2026-09-10 19:35,ecgpcg-warm-start-fusion-default-cv-fold1,warm_start_fusion,default,1,complete,0.1427,0.1427,4.2063
2026-09-10 19:38,ecgpcg-warm-start-fusion-default-cv-fold3,warm_start_fusion,default,3,complete,0.1777,0.1777,4.384
2026-09-10 19:41,ecgpcg-warm-start-fusion-default-cv-fold4,warm_start_fusion,default,4,complete,0.0683,0.0683,4.4523
2026-09-10 19:51,ecgpcg-dual-cnn-default-cv-fold0-leaky-val,dual_cnn,default,0,complete,0.1813,0.1813,4.6336
2026-09-10 19:55,ecgpcg-dual-cnn-default-cv-fold0-fully-leaky,dual_cnn,default,0,complete,0.2029,0.2029,4.8365
2026-09-10 19:56,ecgpcg-dual-cnn-w2-morl-morl-cv-fold1,dual_cnn,w2_morl_morl,1,complete,0.06,0.06,4.8965
